1595522707186|13|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596098659784|87|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES ('1288757302173655042', '20200730164419597', '101', 'MySQL', 'https://gulied-program.oss-cn-beijing.aliyuncs.com/course/1442295570359.jpg', '1', '小三123', '13700000001', '2020-07-30T16:44:19.451', '2020-07-30T16:44:19.454')
1596098788898|1|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596098789036|136|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES ('1288757845113724930', '20200730164628929', '101', 'MySQL', 'https://gulied-program.oss-cn-beijing.aliyuncs.com/course/1442295570359.jpg', '1', '小三123', '13700000001', '2020-07-30T16:46:28.895', '2020-07-30T16:46:28.895')
1596099295488|0|statement|connection 56|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596099295613|122|statement|connection 56|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES ('1288759969906188290', '20200730165455265', '101', 'MySQL', 'https://gulied-program.oss-cn-beijing.aliyuncs.com/course/1442295570359.jpg', '1', '小三123', '13700000001', '2020-07-30T16:54:55.487', '2020-07-30T16:54:55.487')
1596099455611|1|statement|connection 71|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596099455698|84|statement|connection 71|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES ('1288760641514921986', '20200730165735624', '101', 'MySQL', 'https://gulied-program.oss-cn-beijing.aliyuncs.com/course/1442295570359.jpg', '1', '小三123', '13700000001', '2020-07-30T16:57:35.609', '2020-07-30T16:57:35.609')
1596099516996|1|statement|connection 81|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596099517107|109|statement|connection 81|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES ('1288760898982273026', '20200730165836772', '101', 'MySQL', 'https://gulied-program.oss-cn-beijing.aliyuncs.com/course/1442295570359.jpg', '1', '小三123', '13700000001', '2020-07-30T16:58:36.994', '2020-07-30T16:58:36.994')
1596099563506|0|statement|connection 81|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596099563617|108|statement|connection 81|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES ('1288761094059352066', '20200730165923787', '101', 'MySQL', 'https://gulied-program.oss-cn-beijing.aliyuncs.com/course/1442295570359.jpg', '1', '小三123', '13700000001', '2020-07-30T16:59:23.505', '2020-07-30T16:59:23.505')
1596099705427|1|statement|connection 96|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596099705513|84|statement|connection 96|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES ('1288761689310781441', '20200730170145632', '101', 'MySQL', 'https://gulied-program.oss-cn-beijing.aliyuncs.com/course/1442295570359.jpg', '1', '小三123', '13700000001', '2020-07-30T17:01:45.424', '2020-07-30T17:01:45.424')
1596099731861|1|statement|connection 101|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596099731901|32|statement|connection 101|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES ('1288761800183013378', '20200730170211843', '101', 'MySQL', 'https://gulied-program.oss-cn-beijing.aliyuncs.com/course/1442295570359.jpg', '1', '小三123', '13700000001', '2020-07-30T17:02:11.858', '2020-07-30T17:02:11.858')
1596099792804|1|statement|connection 106|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596099792833|27|statement|connection 106|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES ('1288762055796482049', '20200730170312172', '101', 'MySQL', 'https://gulied-program.oss-cn-beijing.aliyuncs.com/course/1442295570359.jpg', '1', '小三123', '13700000001', '2020-07-30T17:03:12.801', '2020-07-30T17:03:12.802')
1596099830511|0|statement|connection 106|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596099830577|64|statement|connection 106|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES ('1288762213963685890', '20200730170350247', '101', 'MySQL', 'https://gulied-program.oss-cn-beijing.aliyuncs.com/course/1442295570359.jpg', '1', '小三123', '13700000001', '2020-07-30T17:03:50.510', '2020-07-30T17:03:50.510')
1596099888651|6|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596099888702|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = ?)|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = '20200730170350247')
1596099909973|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596099910007|30|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES ('1288762547222163458', '20200730170509143', '101', 'MySQL', 'https://gulied-program.oss-cn-beijing.aliyuncs.com/course/1442295570359.jpg', '1', '小三123', '13700000001', '2020-07-30T17:05:09.968', '2020-07-30T17:05:09.971')
1596099910057|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = ?)|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = '20200730170509143')
1596100252413|0|statement|connection 35|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596100252477|61|statement|connection 35|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES ('1288763983515430914', '20200730171052105', '101', 'MySQL', 'https://gulied-program.oss-cn-beijing.aliyuncs.com/course/1442295570359.jpg', '李刚', '1', '小三123', '13700000001', '2020-07-30T17:10:52.404', '2020-07-30T17:10:52.404')
1596100252512|2|statement|connection 35|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = ?)|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = '20200730171052105')
1596117380959|7|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596117381095|87|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES ('1288835825055850497', '20200730215620142', '101', 'MySQL', 'https://gulied-program.oss-cn-beijing.aliyuncs.com/course/1442295570359.jpg', '李刚', '1', '小三123', '13700000001', '2020-07-30T21:56:20.765', '2020-07-30T21:56:20.768')
1596117381186|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = ?)|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = '20200730215620142')
1596117493284|1|statement|connection 10|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596117493287|0|statement|connection 10|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = ?)|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = '20200730215620142')
1596117663113|1|statement|connection 25|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596117663117|1|statement|connection 25|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = ?)|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = '20200730215620142')
1596117665808|0|statement|connection 25|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596117665811|0|statement|connection 25|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = ?)|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = '20200730215620142')
1596117677220|0|statement|connection 25|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596117677291|68|statement|connection 25|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES ('1288837068482437121', '20200730220117624', '101', 'MySQL', 'https://gulied-program.oss-cn-beijing.aliyuncs.com/course/1442295570359.jpg', '李刚', '1', '小三123', '13700000001', '2020-07-30T22:01:17.219', '2020-07-30T22:01:17.219')
1596117677322|0|statement|connection 25|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = ?)|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = '20200730220117624')
1596117678625|0|statement|connection 25|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596117678627|0|statement|connection 25|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = ?)|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = '20200730220117624')
1596117705190|1|statement|connection 30|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596117705194|1|statement|connection 30|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = ?)|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = '20200730220117624')
1596117706401|0|statement|connection 30|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596117706404|0|statement|connection 30|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = ?)|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = '20200730220117624')
1596117768156|1|statement|connection 35|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596117768162|0|statement|connection 35|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = ?)|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = '20200730220117624')
1596117780645|0|statement|connection 40|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596117780744|96|statement|connection 40|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO t_order (id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, gmt_create, gmt_modified) VALUES ('1288837502253162497', '20200730220300607', '101', 'MySQL', 'https://gulied-program.oss-cn-beijing.aliyuncs.com/course/1442295570359.jpg', '李刚', '1', '小三123', '13700000001', '2020-07-30T22:03:00.637', '2020-07-30T22:03:00.637')
1596117780790|2|statement|connection 40|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = ?)|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = '20200730220300607')
1596117782100|0|statement|connection 40|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596117782103|0|statement|connection 40|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = ?)|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = '20200730220300607')
1596117795369|0|statement|connection 40|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1596117795373|0|statement|connection 40|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = ?)|SELECT id, order_no, course_id, course_title, course_cover, teacher_name, member_id, nickname, mobile, total_fee, pay_type, status, is_deleted AS deleted, gmt_create, gmt_modified FROM t_order WHERE is_deleted = 0 AND (order_no = '20200730220300607')
